 1446 462  #UTIL: 1630
 1359  #UTIL: 201
 1359 462  #UTIL: 1277
 462  #UTIL: 1162
 90  #UTIL: 1504
 90 78  #UTIL: 868
 90 396  #UTIL: 2439
 78  #UTIL: 66
 79 1705  #UTIL: 52
 1705  #UTIL: 60
 47  #UTIL: 73
 47 2416  #UTIL: 153
 2416  #UTIL: 80
 457  #UTIL: 108
 457 2137  #UTIL: 188
 457 2137 104  #UTIL: 436
 457 104  #UTIL: 356
 2137  #UTIL: 80
 2137 104  #UTIL: 328
 104  #UTIL: 248
 1743 619  #UTIL: 1247
 619  #UTIL: 1220
 1802  #UTIL: 63
 1802 525  #UTIL: 257
 525  #UTIL: 194
 1697 118  #UTIL: 175
 118  #UTIL: 167
 325  #UTIL: 539
 1465  #UTIL: 215
 1468  #UTIL: 102
 1468 1442  #UTIL: 456
 1468 1442 52  #UTIL: 672
 1468 52  #UTIL: 318
 1442  #UTIL: 354
 1442 52  #UTIL: 570
 52  #UTIL: 216
 1687  #UTIL: 41
 1687 440  #UTIL: 130
 1687 440 2507  #UTIL: 144
 1687 440 2507 432  #UTIL: 389
 1687 440 432  #UTIL: 375
 1687 2507  #UTIL: 36
 1687 2507 432  #UTIL: 281
 1687 432  #UTIL: 267
 1687 342  #UTIL: 1313
 440  #UTIL: 108
 440 2507  #UTIL: 122
 440 2507 432  #UTIL: 367
 440 432  #UTIL: 353
 2507 432  #UTIL: 259
 432  #UTIL: 245
 1756  #UTIL: 159
 1756 739  #UTIL: 948
 739  #UTIL: 789
 487  #UTIL: 58
 487 455  #UTIL: 1287
 455  #UTIL: 5531
 455 562  #UTIL: 4729
 532  #UTIL: 839
 532 44  #UTIL: 1967
 44  #UTIL: 1128
 1520  #UTIL: 605
 1520 1358  #UTIL: 648
 1358  #UTIL: 43
 1677 1191  #UTIL: 402
 1677 1191 1999  #UTIL: 549
 1677 1191 1999 1601  #UTIL: 722
 1677 1191 1999 1601 1500  #UTIL: 785
 1677 1191 1999 1500  #UTIL: 612
 1677 1191 1601  #UTIL: 575
 1677 1191 1601 1500  #UTIL: 638
